Fecha,Ventas,Mes,Dia_Semana
2023-07-16,922.4739673652167,7,6
2023-07-17,1050.2664677356076,7,0
2023-07-18,1062.553402549678,7,1
2023-07-19,946.1675198625485,7,2
2023-07-20,932.2319953482802,7,3
2023-07-21,886.1081047584839,7,4
2023-07-22,929.3905449069151,7,5
2023-07-23,1004.000944181295,7,6
2023-07-24,958.5319285749899,7,0
2023-07-25,997.7883295268134,7,1
2023-07-26,1014.316031584264,7,2
2023-07-27,925.5019020825013,7,3
2023-07-28,869.5230427904237,7,4
2023-07-29,1053.81813017161,7,5
2023-07-30,966.0506508446053,7,6
2023-07-31,1070.6505165382284,7,0
2023-08-01,1079.10782613535,8,1
2023-08-02,1008.1429903248387,8,2
2023-08-03,871.3489054286117,8,3
2023-08-04,869.3190001160613,8,4
2023-08-05,810.4497175047532,8,5
2023-08-06,913.8934917975004,8,6
2023-08-07,978.160465440216,8,0
2023-08-08,1024.395104195082,8,1
2023-08-09,1080.5463053210121,8,2
2023-08-10,783.3442830438926,8,3
2023-08-11,855.6427793901864,8,4
2023-08-12,758.7871927304557,8,5
2023-08-13,892.8512246229071,8,6
2023-08-14,1047.9794529836138,8,0
2023-08-15,1015.0169436490932,8,1
2023-08-16,902.8342106998169,8,2
2023-08-17,833.2650978096914,8,3
2023-08-18,848.0550832064173,8,4
2023-08-19,796.0806572401716,8,5
2023-08-20,920.885089643156,8,6
2023-08-21,989.8708295612587,8,0
2023-08-22,973.7367115092873,8,1
2023-08-23,1058.8932764947556,8,2
2023-08-24,896.1689202232108,8,3
2023-08-25,708.7359033689203,8,4
2023-08-26,838.3216387470105,8,5
2023-08-27,873.8616708396382,8,6
2023-08-28,1027.5982947738605,8,0
2023-08-29,964.5771481603629,8,1
2023-08-30,944.3541314510164,8,2
2023-08-31,888.6318479483812,8,3
2023-09-01,852.710995455239,9,4
2023-09-02,768.9408934702474,9,5
2023-09-03,890.7150535889141,9,6
2023-09-04,962.2563983772624,9,0
2023-09-05,973.1070977901988,9,1
2023-09-06,1040.482640259464,9,2
2023-09-07,886.3042431446152,9,3
2023-09-08,749.6103440197089,9,4
2023-09-09,878.6435166287864,9,5
2023-09-10,1017.9106293527016,9,6
2023-09-11,1042.5620597205934,9,0
2023-09-12,935.3168819278377,9,1
2023-09-13,934.0908210446771,9,2
2023-09-14,936.0780016781922,9,3
2023-09-15,784.5367855917542,9,4
2023-09-16,862.7991033437535,9,5
2023-09-17,958.9876189821154,9,6
2023-09-18,953.6439652990672,9,0
2023-09-19,1017.9624328592724,9,1
2023-09-20,806.4969599924898,9,2
2023-09-21,832.3780198439378,9,3
2023-09-22,818.7664569882604,9,4
2023-09-23,790.3055374806646,9,5
2023-09-24,1014.5771337363997,9,6
2023-09-25,941.8001054566986,9,0
2023-09-26,1012.8709571644611,9,1
2023-09-27,989.651210096674,9,2
2023-09-28,970.8356874956517,9,3
2023-09-29,775.3983535630184,9,4
2023-09-30,927.2724794014384,9,5
2023-10-01,950.5116530509805,10,6
2023-10-02,981.8996612294055,10,0
2023-10-03,1076.2712282605298,10,1
2023-10-04,1011.985272128049,10,2
2023-10-05,888.3046115289403,10,3
2023-10-06,870.8502307849736,10,4
2023-10-07,870.6422309850691,10,5
2023-10-08,977.0939742639173,10,6
2023-10-09,1086.1235707546089,10,0
2023-10-10,1155.1318372520998,10,1
2023-10-11,963.4284297378763,10,2
2023-10-12,1048.8748083448068,10,3
2023-10-13,794.2827941839387,10,4
2023-10-14,907.4635090611566,10,5
2023-10-15,1026.5948535579541,10,6
2023-10-16,1093.441604234383,10,0
2023-10-17,1071.6829532301163,10,1
2023-10-18,1042.5096729311012,10,2
2023-10-19,945.7768290326381,10,3
2023-10-20,891.2271643375669,10,4
2023-10-21,986.9427149405926,10,5
2023-10-22,1045.038209184936,10,6
2023-10-23,1075.3503568857418,10,0
2023-10-24,1178.9937443181138,10,1
2023-10-25,1100.0650133320412,10,2
2023-10-26,1043.438923726482,10,3
2023-10-27,985.126561935844,10,4
2023-10-28,936.5392652472499,10,5
2023-10-29,1033.2772172172693,10,6
2023-10-30,1182.0273499134635,10,0
2023-10-31,1199.7624962899354,10,1
2023-11-01,1119.443822454329,11,2
2023-11-02,1045.0047506904648,11,3
2023-11-03,1054.4195287537352,11,4
2023-11-04,985.8449489118367,11,5
2023-11-05,1126.6135554442528,11,6
2023-11-06,1173.0577846826498,11,0
2023-11-07,1197.3912582735081,11,1
2023-11-08,1214.9797683213906,11,2
2023-11-09,1120.4758559400896,11,3
2023-11-10,1071.7868480334653,11,4
2023-11-11,1121.7746067049043,11,5
2023-11-12,1141.8815830149224,11,6
2023-11-13,1259.326670148119,11,0
2023-11-14,1235.3056821246166,11,1
2023-11-15,1219.2680959733723,11,2
2023-11-16,1116.1848018016392,11,3
2023-11-17,1079.9089167493485,11,4
2023-11-18,1130.659741649749,11,5
2023-11-19,1144.7675529814758,11,6
2023-11-20,1375.1339212930932,11,0
2023-11-21,1246.2342634526203,11,1
2023-11-22,1188.4891455718885,11,2
2023-11-23,1227.1509640476208,11,3
2023-11-24,1161.6022461908444,11,4
2023-11-25,1179.4661393884776,11,5
2023-11-26,1264.844005290022,11,6
2023-11-27,1318.0317492697056,11,0
2023-11-28,1300.174721634789,11,1
2023-11-29,1301.8551675696506,11,2
2023-11-30,1184.6089240307592,11,3
2023-12-01,1220.3429773600483,12,4
2023-12-02,1190.8124096198258,12,5
2023-12-03,1242.3851116241713,12,6
2023-12-04,1353.1269116981812,12,0
2023-12-05,1416.545670768124,12,1
2023-12-06,1321.040487357564,12,2
2023-12-07,1228.8083687538647,12,3
2023-12-08,1235.5047332871736,12,4
2023-12-09,1262.4183081555525,12,5
2023-12-10,1310.5790674263774,12,6
2023-12-11,1398.1622540707335,12,0
2023-12-12,1460.261353348715,12,1
2023-12-13,1329.8140591784113,12,2
2023-12-14,1252.7595048051446,12,3
2023-12-15,1240.8230852163035,12,4
2023-12-16,1293.1239759415514,12,5
2023-12-17,1405.2891405320945,12,6
2023-12-18,1549.480393193102,12,0
2023-12-19,1545.7107684854682,12,1
2023-12-20,1448.5503885579283,12,2
2023-12-21,1376.660572293197,12,3
2023-12-22,1281.236665387567,12,4
2023-12-23,1357.6171185994062,12,5
2023-12-24,1430.1752947466305,12,6
2023-12-25,1546.8203802436801,12,0
2023-12-26,1516.5348663401162,12,1
2023-12-27,1537.669345313502,12,2
2023-12-28,1509.4784076313508,12,3
2023-12-29,1381.2198541735556,12,4
2023-12-30,1433.9769928392777,12,5
2023-12-31,1534.5071995855571,12,6
